testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,3.2064e-05,2.7072e-05,3.936e-05,2.7637333333333337e-05,2.32e-05,3.392e-05,2.482133333333333e-05,2.2048e-05,2.6624e-05,2092.966,1705.002,2478.903,2428.196,1978.445,2892.623,2703.677,2520.615,3043.762
1,0.0003827733333333,0.00036608,0.000403488,0.000356896,0.000343904,0.00037792,0.000317376,0.000287968,0.000339744,11220.654,10644.597,11732.319,12034.226,11364.753,12488.855,13532.741,12641.775,14914.738
2,3.0709333333333334e-05,2.4448e-05,3.8208e-05,2.187733333333333e-05,1.9616e-05,2.5856e-05,1.8389333333333334e-05,1.8336e-05,1.8432e-05,1638.969,1317.307,2058.723,2300.63,1946.614,2565.847,2737.002,2730.667,2744.963
3,0.0002329173333333,0.000212768,0.000248608,0.000213344,0.00020528,0.000228448,0.000180928,0.000174144,0.000187232,10372.432,9717.785,11354.711,11324.055,10575.357,11768.897,13352.931,12903.345,13873.111
4,0.0004708586666666,0.000417408,0.000534912,0.0004414506666666,0.000385568,0.000522464,0.000357856,0.000352608,0.000368128,9121.564,8029.297,10289.614,9729.212,8220.599,11139.325,12001.943,11667.049,12180.572
5,0.0003632426666666,0.000349184,0.000381504,0.0003085333333333,0.000292704,0.000339488,0.0002396053333333,0.00022256,0.000263168,6650.978,6332.618,6918.757,7830.334,7116.361,8253.796,10082.91,9180.14,10855.136
