testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,8.548266666666666e-05,7.6e-05,9.7376e-05,8.109866666666667e-05,7.6e-05,8.4224e-05,5.7632e-05,5.696e-05,5.8368e-05,5982.235,5251.575,6728.65,6305.62,6071.635,6728.65,8873.15,8761.263,8977.834
1,0.0002939626666666,0.00025696,0.000321728,0.0002733653333333,0.000256768,0.0003032,0.0001930986666666,0.000184256,0.000198016,9277.866,8477.18,10613.894,9976.928,8995.205,10621.831,14124.107,13773.363,14801.94
2,0.000302176,0.000278624,0.000326592,0.0002952533333333,0.000278624,0.000305824,0.0002016106666666,0.000182304,0.000224832,9025.688,8350.928,9788.626,9237.309,8918.025,9788.626,13527.787,12130.596,14960.43
3,5.6693333333333335e-05,4.9888e-05,6.064e-05,4.772266666666666e-05,4.4e-05,5.5072e-05,3.371733333333334e-05,2.7936e-05,3.7824e-05,5345.222,4997.336,6074.376,6349.99,5502.587,6887.238,8987.617,8011.804,10847.597
4,0.0003648533333333,0.000320032,0.000399424,0.000351136,0.000320032,0.000375104,0.000256608,0.000241856,0.000267968,7475.185,6828.198,8522.105,7767.208,7270.907,8522.105,10628.453,10177.88,11276.736
5,5.185066666666668e-05,4.2624e-05,6.176e-05,4.558933333333333e-05,3.9808e-05,5.1168e-05,3.8656e-05,3.7984e-05,3.9072e-05,5844.447,4906.711,7109.574,6647.135,5922.422,7612.502,7839.364,7755.898,7978.056
6,0.0004416319999999,0.00026096,0.00065088,0.0003395946666666,0.0002608,0.000393568,0.0002826453333333,0.000221632,0.000331008,6175.608,4190.244,10451.204,8031.181,6929.797,10457.616,9649.359,8239.517,12305.742
7,8.212266666666667e-05,7.9136e-05,8.528e-05,6.1824e-05,5.8528e-05,6.6432e-05,5.131733333333334e-05,4.9088e-05,5.5072e-05,3690.071,3553.453,3829.338,4901.631,4561.634,5177.666,5905.187,5502.587,6173.372
8,0.0012570773333333,0.001155264,0.001321504,0.001102912,0.000913216,0.001240672,0.0008135999999999,0.000757504,0.000845952,8678.372,8255.279,9443.196,9891.437,8793.126,11946.116,13408.782,12895.985,14401.752
9,0.0008101653333333,0.000492768,0.001145536,0.00058048,0.000485664,0.000654176,0.0003781866666666,0.000279936,0.000431392,3366.407,2380.847,5534.747,4698.433,4169.132,5615.706,7211.64,6322.199,9742.749
10,0.0001272853333333,0.000110176,0.000142912,0.00010784,9.632e-05,0.00012512,9.8944e-05,9.0464e-05,0.000115616,2380.781,2120.455,2750.494,2810.075,2421.983,3146.163,3062.727,2621.077,3349.824
