testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,2.2058666666666663e-05,1.6128e-05,3.0528e-05,1.3642666666666666e-05,1.3504e-05,1.376e-05,1.2650666666666666e-05,1.1424e-05,1.3504e-05,3042.29,2198.273,4161.016,4919.043,4877.098,4969.555,5304.769,4969.555,5874.375
1,0.0001682026666666,0.0001584,0.000184256,0.000142496,0.0001352,0.000147456,0.0001189866666666,0.00011232,0.000125824,25534.478,23309.783,27114.693,30140.967,29127.111,31767.51,36096.207,34134.722,38238.669
2,1.8538666666666662e-05,1.28e-05,2.8864e-05,1.1776e-05,1.0624e-05,1.3728e-05,1.0933333333333333e-05,9.952e-06,1.2544e-05,2714.955,1743.752,3932.16,4274.087,3666.35,4737.542,4603.504,4012.408,5057.441
3,0.0001098133333333,9.7536e-05,0.000122496,0.0001034666666666,9.5104e-05,0.000116192,7.978666666666667e-05,7.2352e-05,8.7008e-05,22000.235,19722.433,24769.512,23349.734,20792.474,25402.918,30279.735,27766.632,33391.186
4,0.00023568,0.000207744,0.000261504,0.00023472,0.000207744,0.000259904,0.000172512,0.000155104,0.000206112,18223.724,16424.098,20674.327,18298.259,16525.207,20674.327,24896.629,20838.026,27690.887
5,0.000167488,0.000136416,0.000192256,0.0001380373333333,0.00012304,0.000160736,0.0001073599999999,9.8656e-05,0.000112032,14424.431,12566.157,17709.939,17501.925,15030.355,19635.233,22502.972,21564.545,24488.314
