testcase,mean,min,max,mean_gflops,min_gflops,max_gflops
0,2.106666666666667e-05,2.093e-05,2.125e-05,3185.547,3158.064,3206.348
1,0.0001310199999999,0.0001304,0.0001320999999999,32781.005,32513.0,32936.866
2,1.6343333333333333e-05,1.6289999999999998e-05,1.6420000000000002e-05,3079.644,3065.265,3089.727
3,9.365666666666668e-05,9.354000000000002e-05,9.389e-05,25795.485,25731.378,25827.658
4,0.0002204066666666,0.0002192,0.00022125,19486.558,19412.282,19593.829
5,0.0001608966666666,0.00016061,0.00016141,15015.346,14967.592,15042.146
