testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,1.3866666666666667e-05,1.3056e-05,1.4624e-05,1.3866666666666667e-05,1.3056e-05,1.4624e-05,1.3653333333333334e-05,1.2416e-05,1.4624e-05,17021.243,16139.764,18078.118,17021.243,16139.764,18078.118,17287.2,16139.764,19009.979
1,5.109333333333333e-06,5.056e-06,5.216e-06,4.970666666666666e-06,4.736e-06,5.216e-06,4.864e-06,4.736e-06,4.96e-06,5028.075,4925.252,5081.114,5168.343,4925.252,5424.432,5281.684,5179.458,5424.432
2,1.7685333333333335e-05,1.6576e-05,1.856e-05,1.7664e-05,1.6512e-05,1.856e-05,1.4869333333333332e-05,1.3664e-05,1.5584e-05,13073.602,12457.49,13948.541,13089.391,12457.49,14002.605,15549.521,14836.435,16921.18
3,9.354666666666669e-06,8.224e-06,1.0592e-05,8.896e-06,8e-06,1.0592e-05,7.850666666666668e-06,7.52e-06,8.448e-06,10984.94,9701.704,12495.191,11551.309,9701.704,12845.056,13089.391,12163.879,13664.953
4,1.2693333333333334e-05,1.2288e-05,1.3056e-05,1.2661333333333334e-05,1.2192e-05,1.3056e-05,9.930666666666668e-06,9.856e-06,9.984e-06,4047.812,3935.373,4181.333,4058.042,3935.373,4214.257,5173.895,5146.256,5213.091
5,2.8437333333333333e-05,2.3392e-05,3.1072e-05,2.3264e-05,2.2208e-05,2.4224e-05,1.9104e-05,1.6992e-05,2.1408e-05,8130.545,7441.137,9884.192,9938.575,9544.708,10411.159,12102.754,10800.215,13607.051
6,8.810666666666667e-06,8.192e-06,9.472e-06,8.672e-06,8.096e-06,9.152e-06,8.117333333333333e-06,8.064e-06,8.192e-06,11663.186,10848.865,12544.0,11849.683,11228.196,12692.743,12659.385,12544.0,12743.111
7,1.832533333333333e-05,1.3952e-05,2.1408e-05,1.8272e-05,1.3952e-05,2.1248e-05,1.4346666666666668e-05,1.264e-05,1.6736e-05,2803.781,2400.048,3682.642,2811.965,2418.12,3682.642,3581.335,3070.042,4064.891
8,4.104533333333334e-05,3.312e-05,5.2416e-05,3.605333333333333e-05,3.088e-05,4.4928e-05,2.9312e-05,2.5824e-05,3.2352e-05,5633.064,4411.077,6981.009,6413.027,5146.256,7487.403,7887.93,7146.73,8953.338
9,1.1594666666666666e-05,1.0944e-05,1.2128e-05,1.1434666666666667e-05,1.0944e-05,1.2128e-05,1.1008e-05,1.0912e-05,1.1072e-05,8862.734,8472.992,9389.661,8986.746,8472.992,9389.661,9335.07,9281.11,9417.196
10,2.8682666666666666e-05,2.0064e-05,3.536e-05,1.9936e-05,1.9712e-05,2.0224e-05,1.9818666666666664e-05,1.9648e-05,2.0096e-05,1791.334,1453.061,2560.817,2577.258,2540.557,2606.545,2592.517,2556.739,2615.036
11,5.857066666666667e-05,5.3696e-05,6.1216e-05,4.8490666666666666e-05,4.4448e-05,5.4912e-05,4.298666666666667e-05,4.2496e-05,4.3968e-05,3947.556,3776.97,4305.926,4768.155,4210.573,5201.832,5378.668,5258.62,5440.771
12,1.6256e-05,1.52e-05,1.7536e-05,1.5232e-05,1.5104e-05,1.5392e-05,1.5232e-05,1.5104e-05,1.5392e-05,6321.386,5859.971,6760.556,6746.353,6676.225,6803.525,6746.353,6676.225,6803.525
