testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,1.2554666666666663e-05,1.1648e-05,1.3216e-05,1.1904e-05,1.1648e-05,1.232e-05,1.1904e-05,1.1648e-05,1.232e-05,5345.332,5077.85,5761.407,5637.505,5447.148,5761.407,5637.505,5447.148,5761.407
1,0.00011376,0.000102304,0.000120096,0.0001119253333333,0.000102304,0.000118592,0.000105504,0.00010176,0.000112736,37754.635,35762.784,41982.398,38373.505,36216.332,41982.398,40709.047,38097.567,42206.833
2,1.0346666666666669e-05,9.376e-06,1.168e-05,9.856e-06,9.376e-06,1.0624e-05,9.482666666666666e-06,9.376e-06,9.536e-06,4864.528,4309.216,5368.137,5106.701,4737.542,5368.137,5307.753,5278.067,5368.137
3,7.003733333333333e-05,6.4256e-05,7.3952e-05,6.6048e-05,6.3872e-05,6.8544e-05,6.5568e-05,6.3872e-05,6.7104e-05,34494.733,32668.746,37598.343,36578.233,35246.252,37824.385,36846.009,36002.609,37824.385
4,0.0001544959999999,0.000144672,0.000169408,0.000153152,0.000144576,0.000166656,0.0001471893333333,0.000144576,0.000150368,27799.861,25352.801,29687.62,28043.821,25771.453,29707.332,29179.881,28563.041,29707.332
5,0.000117056,0.00010432,0.000135392,0.0001072106666666,9.76e-05,0.000118592,9.8752e-05,9.76e-05,9.9968e-05,20639.003,17843.884,23158.734,22534.317,20371.687,24753.27,24464.508,24166.924,24753.27
