testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,2.946133333333333e-05,2.5824e-05,3.1936e-05,2.8864e-05,2.5824e-05,3.184e-05,2.5834666666666665e-05,2.576e-05,2.592e-05,17357.579,16012.569,19802.409,17716.789,16060.848,19802.409,19794.233,19729.067,19851.607
1,0.0001032106666666,8.3712e-05,0.000117952,9.278933333333332e-05,7.8144e-05,0.000116512,7.747199999999999e-05,7.4144e-05,7.952e-05,26425.042,23122.509,32580.11,29392.885,23408.286,34901.543,35204.283,34297.613,36784.449
2,0.0001205226666666,0.00010224,0.000136864,9.403733333333331e-05,8.4128e-05,0.000102144,8.187733333333334e-05,8.0544e-05,8.2624e-05,22629.322,19927.418,26675.921,29002.802,26700.992,32419.006,33310.149,33009.128,33861.569
3,2.2048e-05,1.8592e-05,2.6368e-05,1.9050666666666667e-05,1.8432e-05,1.9872e-05,1.8645333333333333e-05,1.8208e-05,1.888e-05,13744.488,11492.66,16299.401,15906.974,15249.52,16440.889,16252.778,16050.766,16643.149
4,0.0001308053333333,0.00010544,0.000146112,0.000124736,0.000104448,0.000143584,0.0001002986666666,9.3184e-05,0.000112672,20850.42,18666.134,25866.333,21864.948,18994.778,26112.0,27192.248,24206.069,29268.396
5,2.4042666666666663e-05,2.224e-05,2.656e-05,2.176e-05,2.1472e-05,2.2208e-05,1.984e-05,1.8656e-05,2.1376e-05,12604.195,11409.581,13625.83,13926.4,13645.464,14113.192,15274.116,14176.575,16243.485
6,0.0001486933333333,0.000131168,0.000159584,0.00013712,0.000121536,0.000152416,0.0001292906666666,0.000121536,0.000140352,18342.088,17090.349,20792.771,19890.214,17894.094,22440.645,21094.687,19432.186,22440.645
7,3.152e-05,3.12e-05,3.1744e-05,2.9525333333333333e-05,2.7936e-05,3.0816e-05,2.4032000000000003e-05,2.3872e-05,2.4128e-05,9614.164,9546.323,9712.771,10263.676,9833.803,10847.597,12609.79,12559.618,12694.306
8,0.00044144,0.000421056,0.00046352,0.000408544,0.0004016,0.000415808,0.0003630933333333,0.000345568,0.000389888,24713.177,23535.953,25909.581,26703.084,26236.592,27164.803,30045.676,27980.817,31569.43
9,0.0002559786666666,0.000198016,0.000316704,0.0002273173333333,0.000167424,0.000316512,0.0001864106666666,0.000167424,0.000209824,10654.584,8611.657,13773.363,11997.968,8616.881,16290.055,14630.848,12998.257,16290.055
10,5.7824e-05,5.248e-05,6.3776e-05,5.378133333333333e-05,5.2e-05,5.4752e-05,5.371733333333333e-05,5.2e-05,5.4752e-05,5240.704,4751.607,5774.361,5634.64,5534.747,5827.663,5641.353,5534.747,5827.663
