testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,2.263466666666667e-05,1.7728e-05,3.0016e-05,1.7877333333333336e-05,1.6512e-05,1.9904e-05,1.2565333333333331e-05,1.1968e-05,1.328e-05,2964.871,2235.77,3785.473,3753.852,3371.627,4064.248,5340.795,5053.378,5607.358
1,0.0001282453333333,0.000121536,0.000133344,0.0001126506666666,0.000111264,0.000113984,0.0001065706666666,0.000100736,0.000113984,33490.242,32209.678,35339.054,38126.426,37680.44,38601.59,40301.59,37680.44,42635.873
2,1.867733333333333e-05,1.5744e-05,2.0864e-05,1.2704e-05,1.0656e-05,1.504e-05,1.1029333333333331e-05,9.888e-06,1.2832e-05,2694.798,2412.368,3196.878,3961.874,3346.519,4723.315,4563.435,3922.354,5090.175
3,8.887466666666667e-05,7.1872e-05,0.000111104,8.317866666666665e-05,6.6368e-05,9.952e-05,7.2384e-05,6.6368e-05,7.9648e-05,27183.439,21744.664,33614.191,29044.937,24275.714,36401.867,33376.424,30332.452,36401.867
4,0.000212,0.000189632,0.000244544,0.0001878293333333,0.000183104,0.000190752,0.000167296,0.000146848,0.000183808,20259.28,17563.168,22648.958,22866.329,22515.975,23456.436,25672.863,23366.596,29247.707
5,0.0001535786666666,0.000138912,0.000168384,0.0001148373333333,0.000114336,0.000115456,0.0001085546666666,0.000104416,0.00011168,15730.825,14347.676,17391.724,21037.75,20925.02,21129.995,22255.322,21632.513,23137.442
