testcase,mean,min,max,mean_gflops,min_gflops,max_gflops
0,3.671333333333333e-05,3.667e-05,3.677e-05,1827.915,1825.098,1830.075
1,0.0003782266666666,0.00037782,0.00037878,11355.538,11338.95,11367.761
2,2.8320000000000003e-05,2.8260000000000004e-05,2.8350000000000005e-05,1777.247,1775.367,1781.021
3,0.0002894633333333,0.00028941,0.00028954,8346.201,8343.991,8347.739
4,0.0006174299999999,0.00061712,0.00061789,6956.201,6951.023,6959.696
5,0.0004672,0.00046714,0.00046726,5171.06,5170.396,5171.724
