testcase,mean,min,max,mean_gflops,min_gflops,max_gflops
0,4.161e-05,4.147e-05,4.17e-05,5672.384,5660.142,5691.534
1,9.46e-06,9.44e-06,9.5e-06,2715.657,2704.222,2721.41
2,6.836e-05,6.822000000000001e-05,6.848e-05,3382.256,3376.329,3389.197
3,1.552e-05,1.5419999999999998e-05,1.565e-05,6621.163,6566.163,6664.102
4,3.062333333333333e-05,3.059e-05,3.066e-05,1677.813,1675.806,1679.641
5,0.0001031866666666,0.00010307,0.00010326,2240.706,2239.115,2243.243
6,2.6336666666666668e-05,2.6180000000000003e-05,2.653e-05,3901.802,3873.368,3925.151
7,3.210666666666667e-05,3.203e-05,3.216e-05,1600.298,1597.644,1604.128
8,0.0001203833333333,0.00012019,0.00012048,1920.623,1919.082,1923.713
9,5.027e-05,5.024e-05,5.03e-05,2044.17,2042.951,2045.391
10,4.496e-05,4.467e-05,4.5310000000000005e-05,1142.799,1133.971,1150.218
11,0.0001595066666666,0.00015942,0.00015958,1449.538,1448.872,1450.326
12,5.992666666666666e-05,5.984e-05,5.997e-05,1714.77,1713.531,1717.253
