testcase,mean,min,max,mean_gflops,min_gflops,max_gflops
0,6.732666666666667e-05,6.662000000000001e-05,6.797e-05,7595.466,7523.575,7676.034
1,0.0002325566666666,0.00023168,0.00023418,11727.663,11646.367,11772.04
2,0.0002419533333332,0.0002412499999999,0.0002424999999999,11272.199,11246.788,11305.062
3,3.78e-05,3.712e-05,3.862e-05,8016.891,7846.672,8163.752
4,0.0005236266666666,0.00052346,0.00052387,5208.57,5206.151,5210.228
5,5.4186666666666674e-05,5.398e-05,5.4560000000000006e-05,5592.491,5554.224,5613.903
6,0.00155,0.00155,0.00155,1759.578,1759.578,1759.578
7,7.522333333333333e-05,7.514e-05,7.529999999999999e-05,4028.517,4024.415,4032.985
8,0.00172,0.00172,0.00172,6342.666,6342.666,6342.666
9,0.00147,0.00147,0.00147,1855.338,1855.338,1855.338
10,8.227333333333334e-05,8.208e-05,8.256000000000001e-05,3683.313,3670.524,3691.989
