,testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops,variability
0,0,1.3258666666666667e-05,1.248e-05,1.4208e-05,1.2458666666666668e-05,1.1808e-05,1.3088e-05,1.2458666666666668e-05,1.1808e-05,1.3088e-05,5061.509,4723.315,5377.313,5386.521,5127.511,5683.339,5386.521,5127.511,5683.339,0.09779951100244508
1,1,0.000120224,0.000114816,0.000130368,0.0001135893333333,0.000112384,0.000115936,0.0001000426666666,9.984e-05,0.000100192,35724.708,32944.95,37407.394,37811.361,37046.019,38216.893,42931.356,42867.368,43018.503,0.030637593154844017
2,2,1.0538666666666668e-05,1.0496e-05,1.0624e-05,1.0528e-05,1.0496e-05,1.0592e-05,9.610666666666668e-06,9.472e-06,9.728e-06,4775.903,4737.542,4795.317,4780.742,4751.855,4795.317,5237.061,5173.895,5313.73,0.00906344410876121
3,3,8.024533333333334e-05,7.8496e-05,8.1312e-05,7.289599999999999e-05,7.1584e-05,7.5136e-05,6.525866666666666e-05,6.176e-05,6.8864e-05,30106.662,29711.717,30777.608,33141.998,32153.949,33749.429,37020.663,35082.468,39117.861,0.047274275979557016
4,4,0.000168992,0.000149504,0.000197056,0.0001680533333333,0.000146688,0.000197056,0.000146528,0.000146112,0.000146816,25415.211,21795.669,28728.11,25557.168,21795.669,29279.609,29311.581,29254.082,29395.035,0.25560246833387473
5,5,0.000111616,0.000109792,0.000114944,0.0001071253333333,9.7088e-05,0.000114496,9.986133333333332e-05,9.536e-05,0.000107328,21644.917,21018.227,22004.509,22552.267,21100.467,24883.808,24192.738,22509.682,25334.722,0.15204024594745663
