testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,1.3354666666666668e-05,1.184e-05,1.4656e-05,1.2448e-05,1.1808e-05,1.3696e-05,1.2213333333333334e-05,1.1808e-05,1.2992e-05,5025.125,4578.934,5667.978,5391.136,4899.888,5683.339,5494.721,5165.399,5683.339
1,0.0001234133333333,0.000113984,0.00013184,0.0001205653333333,0.000113984,0.000126944,0.0001047146666666,0.000100704,0.000108224,34801.485,32577.118,37680.44,35623.568,33833.559,37680.44,41015.91,39685.904,42649.421
2,1.1082666666666666e-05,1.008e-05,1.296e-05,1.0005333333333332e-05,9.664e-06,1.0208e-05,9.674666666666666e-06,9.44e-06,9.952e-06,4541.474,3883.615,4993.219,5030.482,4930.608,5208.159,5202.417,5057.441,5331.742
3,7.458133333333333e-05,6.1472e-05,8.512e-05,6.869333333333332e-05,6.1472e-05,7.3536e-05,6.269866666666667e-05,6.1472e-05,6.48e-05,32393.08,28382.508,39301.131,35169.63,32853.556,39301.131,38532.225,37282.702,39301.131
4,0.0001738453333333,0.000145792,0.00020752,0.0001546346666666,0.000144672,0.000168224,0.0001445973333333,0.00014384,0.000144992,24705.681,20696.643,29459.554,27774.932,25531.24,29687.62,29702.95,29622.098,29859.339
5,0.0001114133333333,0.000101632,0.0001216,0.0001067093333333,9.9904e-05,0.000111008,0.0001036906666666,9.7184e-05,0.000110944,21684.291,19867.756,23771.244,22640.186,21763.468,24182.406,23299.292,21776.023,24859.227
