testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,2.2048e-05,2.1152e-05,2.384e-05,2.1664e-05,2.0928e-05,2.3104e-05,2.101333333333333e-05,2.0928e-05,2.1152e-05,3043.762,2814.969,3172.696,3097.713,2904.643,3206.654,3193.632,3172.696,3206.654
1,0.000294304,0.000291968,0.000295712,0.0002942933333333,0.000291936,0.000295712,0.0002930986666666,0.000291936,0.00029408,14593.642,14524.156,14710.404,14594.171,14524.156,14712.017,14653.657,14604.758,14712.017
2,1.9146666666666667e-05,1.728e-05,2.0896e-05,1.8645333333333333e-05,1.6704e-05,2.0896e-05,1.6725333333333334e-05,1.6704e-05,1.6768e-05,2628.742,2408.674,2912.711,2699.423,2408.674,3013.149,3009.306,3001.649,3013.149
3,0.0001746773333333,0.00016624,0.000187488,0.000172512,0.000162624,0.000184608,0.0001621546666666,0.000161472,0.000162624,13830.753,12885.727,14532.718,14004.354,13086.752,14855.858,14898.856,14855.858,14961.845
4,0.0003783466666666,0.000352768,0.000392352,0.000349792,0.000327616,0.000392288,0.0003295786666666,0.000327616,0.000332,11351.936,10946.72,12175.048,12278.632,10948.505,13109.761,13031.691,12936.648,13109.761
5,0.000254144,0.00024368,0.000265888,0.000254016,0.00024368,0.000265504,0.0002477866666666,0.00024368,0.000251584,9506.103,9086.228,9914.31,9510.893,9099.37,9914.31,9749.996,9602.833,9914.31
