,testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops,variability
0,0,3.312e-05,3.0336e-05,3.6352e-05,2.976e-05,2.7328e-05,3.2448e-05,2.416e-05,2.3776e-05,2.4448e-05,7126.446,6492.845,7780.456,7931.045,7274.036,8636.852,9769.367,9654.283,9927.149,0.027486910994764385
1,1,8.341333333333333e-06,8.064e-06,8.576e-06,8.298666666666667e-06,8.064e-06,8.448e-06,7.743999999999999e-06,7.552e-06,7.904e-06,3079.857,2995.582,3185.778,3095.692,3040.97,3185.778,3317.421,3250.267,3401.763,0.04453441295546551
2,2,3.797333333333333e-05,3.6832e-05,3.856e-05,3.275733333333333e-05,2.9984e-05,3.552e-05,2.9834666666666667e-05,2.8768e-05,3.1136e-05,6088.773,5996.136,6277.449,7058.298,6509.319,7711.146,7749.743,7425.842,8037.09,0.07605344295991784
3,3,1.5765333333333333e-05,1.5104e-05,1.6416e-05,1.5498666666666664e-05,1.5104e-05,1.6288e-05,1.4442666666666668e-05,1.4368e-05,1.4592e-05,6518.127,6259.774,6803.525,6630.277,6308.967,6803.525,7115.061,7042.246,7152.036,0.015350877192982448
4,4,2.4608e-05,2.4096e-05,2.5152e-05,2.2826666666666663e-05,1.9584e-05,2.5152e-05,1.9498666666666667e-05,1.9424e-05,1.9552e-05,2087.948,2042.789,2132.313,2250.886,2042.789,2623.582,2635.063,2627.876,2645.193,0.0065466448445171575
5,5,3.940266666666667e-05,3.8016e-05,4.128e-05,3.8922666666666666e-05,3.7856e-05,4.0224e-05,3.697066666666667e-05,3.4976e-05,3.8112e-05,5867.903,5601.042,6081.939,5940.266,5748.086,6107.645,6253.904,6066.62,6610.562,0.08228379513014271
6,6,1.8090666666666663e-05,1.6928e-05,2.0256e-05,1.690666666666667e-05,1.6288e-05,1.7632e-05,1.6266666666666668e-05,1.6224e-05,1.6288e-05,5680.302,5073.087,6070.442,6078.102,5828.065,6308.967,6317.241,6308.967,6333.854,0.003929273084479459
7,7,2.8448e-05,2.592e-05,3.2992e-05,2.5056e-05,2.448e-05,2.592e-05,2.468266666666667e-05,2.4192e-05,2.5568e-05,1806.11,1557.354,1982.262,2050.616,1982.262,2098.865,2081.632,2009.552,2123.852,0.05381727158948679
8,8,6.7712e-05,5.6608e-05,7.6896e-05,6.3296e-05,5.6224e-05,7.6896e-05,5.2064e-05,5.1808e-05,5.2576e-05,3414.624,3006.801,4084.423,3652.853,3006.801,4112.319,4440.9,4397.653,4462.844,0.014607425441265915
9,9,2.3936e-05,2.2496e-05,2.5504e-05,2.2154666666666663e-05,2.1824e-05,2.24e-05,2.1450666666666664e-05,2.0928e-05,2.224e-05,4293.134,4029.189,4567.943,4638.321,4587.52,4708.598,4790.548,4620.524,4910.19,0.05899280575539569
10,10,4.4885333333333335e-05,3.888e-05,5.184e-05,4.111999999999999e-05,3.856e-05,4.3936e-05,3.850666666666667e-05,3.84e-05,3.8624e-05,1144.7,991.131,1321.508,1249.519,1169.433,1332.475,1334.32,1330.267,1338.027,0.005799502899751534
11,11,0.0001095679999999,8.1728e-05,0.000142336,0.0001006613333333,8.1664e-05,0.000116256,8.477866666666666e-05,8.1408e-05,9.1264e-05,2110.206,1624.403,2829.031,2296.92,1988.809,2831.248,2727.231,2533.431,2840.151,0.10799438990182322
12,12,3.4026666666666664e-05,3.3376e-05,3.5296e-05,3.239466666666666e-05,3.12e-05,3.3216e-05,3.130666666666667e-05,3.1072e-05,3.152e-05,3019.997,2911.391,3078.872,3172.141,3093.703,3293.604,3282.382,3260.166,3307.172,0.014213197969543139
