testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,1.4277333333333331e-05,1.25682e-05,1.62071e-05,1.0177686666666664e-05,9.76536e-06,1.06399e-05,9.345666666666666e-06,8.5657e-06,9.75848e-06,4700.378,4140.708,5339.576,6593.725,6307.283,6872.134,7180.747,6876.979,7834.604
1,0.0001278363333333,0.000124705,0.000132154,0.000119992,0.000117237,0.000124799,0.000102279,9.7074e-05,0.000107088,33597.391,32499.715,34441.019,35793.78,34415.078,36634.913,41992.66,40106.896,44244.26
2,1.1694039999999998e-05,9.6682e-06,1.54778e-05,8.91298e-06,7.96983e-06,1.07768e-05,7.97287e-06,7.20223e-06,9.28847e-06,4304.043,3251.861,5205.896,5647.006,4670.37,6315.272,6312.865,5418.723,6988.342
3,8.82565e-05,7.96843e-05,9.72493e-05,8.175356666666666e-05,7.37075e-05,9.25984e-05,6.70875e-05,6.03013e-05,7.26646e-05,27373.838,24842.535,30318.634,29551.238,26090.29,32777.114,36011.464,33247.539,40064.13
4,0.0001804066666666,0.000159698,0.000194088,0.0001804066666666,0.000159698,0.000194088,0.000136406,0.000128951,0.000149181,23807.143,22128.969,26894.309,23807.143,22128.969,26894.309,31486.645,28790.31,33306.972
5,0.000130949,0.000111952,0.000155379,0.000111297,0.000101568,0.000123106,8.832376666666668e-05,8.20292e-05,9.2481e-05,18449.313,15548.556,21579.955,21706.956,19624.706,23786.223,27352.99,26123.41,29451.94
